"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US37197","Yadkin County, North Carolina","37819","null","*****","*****","35855","null","277","null","1964","null","277","null",
"0500000US37199","Yancey County, North Carolina","17599","null","*****","*****","17066","null","147","null","533","null","147","null",
"0500000US38001","Adams County, North Dakota","2348","null","*****","*****","2303","null","15","null","45","null","15","null",
"0500000US38003","Barnes County, North Dakota","11033","null","*****","*****","10926","null","49","null","107","null","49","null",
"0500000US38005","Benson County, North Dakota","6802","null","*****","*****","6770","null","19","null","32","null","19","null",
"0500000US38007","Billings County, North Dakota","936","null","82","null","920","null","82","null","16","null","15","null",
"0500000US38009","Bottineau County, North Dakota","6650","null","*****","*****","6495","null","77","null","155","null","77","null",
"0500000US38011","Bowman County, North Dakota","3238","null","*****","*****","3213","null","18","null","25","null","18","null",
"0500000US38013","Burke County, North Dakota","2239","null","*****","*****","2167","null","43","null","72","null","43","null",
"0500000US38015","Burleigh County, North Dakota","90560","null","*****","*****","88662","null","362","null","1898","null","362","null",
"0500000US38017","Cass County, North Dakota","166852","null","*****","*****","156108","null","858","null","10744","null","858","null",
"0500000US38019","Cavalier County, North Dakota","3867","null","*****","*****","3830","null","20","null","37","null","20","null",
"0500000US38021","Dickey County, North Dakota","5160","null","*****","*****","5069","null","39","null","91","null","39","null",
"0500000US38023","Divide County, North Dakota","2369","null","*****","*****","2269","null","45","null","100","null","45","null",
"0500000US38025","Dunn County, North Dakota","4284","null","*****","*****","4197","null","37","null","87","null","37","null",
"0500000US38027","Eddy County, North Dakota","2370","null","*****","*****","2338","null","21","null","32","null","21","null",
"0500000US38029","Emmons County, North Dakota","3426","null","*****","*****","3381","null","21","null","45","null","21","null",
"0500000US38031","Foster County, North Dakota","3345","null","*****","*****","3302","null","31","null","43","null","31","null",
"0500000US38033","Golden Valley County, North Dakota","1895","null","109","null","1893","null","109","null","2","null","4","null",
"0500000US38035","Grand Forks County, North Dakota","69793","null","*****","*****","66943","null","295","null","2850","null","295","null",
"0500000US38037","Grant County, North Dakota","2369","null","*****","*****","2341","null","15","null","28","null","15","null",
"0500000US38039","Griggs County, North Dakota","2311","null","*****","*****","2286","null","20","null","25","null","20","null",
"0500000US38041","Hettinger County, North Dakota","2639","null","*****","*****","2606","null","20","null","33","null","20","null",
"0500000US38043","Kidder County, North Dakota","2419","null","*****","*****","2376","null","35","null","43","null","35","null",
"0500000US38045","LaMoure County, North Dakota","4111","null","*****","*****","4081","null","14","null","30","null","14","null",
"0500000US38047","Logan County, North Dakota","1939","null","*****","*****","1915","null","15","null","24","null","15","null",
"0500000US38049","McHenry County, North Dakota","5912","null","*****","*****","5830","null","33","null","82","null","33","null",
"0500000US38051","McIntosh County, North Dakota","2737","null","*****","*****","2661","null","37","null","76","null","37","null",
"0500000US38053","McKenzie County, North Dakota","10718","null","*****","*****","10624","null","70","null","94","null","70","null",
"0500000US38055","McLean County, North Dakota","9576","null","*****","*****","9473","null","43","null","103","null","43","null",
"0500000US38057","Mercer County, North Dakota","8671","null","*****","*****","8589","null","35","null","82","null","35","null",
