"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born",
"0500000US48017","Bailey County, Texas","7092","null","*****","*****","5779","375","null","null","1313","375","null","null",
"0500000US48019","Bandera County, Texas","21763","null","*****","*****","20653","310","null","null","1110","310","null","null",
"0500000US48021","Bastrop County, Texas","82577","null","*****","*****","73571","893","null","null","9006","893","null","null",
"0500000US48023","Baylor County, Texas","3591","null","*****","*****","3538","47","null","null","53","47","null","null",
"0500000US48025","Bee County, Texas","32691","null","*****","*****","31567","217","null","null","1124","217","null","null",
"0500000US48027","Bell County, Texas","342236","null","*****","*****","313851","1453","null","null","28385","1453","null","null",
"0500000US48029","Bexar County, Texas","1925865","null","*****","*****","1669855","4827","null","null","256010","4827","null","null",
"0500000US48031","Blanco County, Texas","11279","null","*****","*****","10628","206","null","null","651","206","null","null",
"0500000US48033","Borden County, Texas","665","null","119","null","641","112","null","null","24","27","null","null",
"0500000US48035","Bosque County, Texas","18122","null","*****","*****","17030","149","null","null","1092","149","null","null",
"0500000US48037","Bowie County, Texas","93858","null","*****","*****","89748","613","null","null","4110","613","null","null",
"0500000US48039","Brazoria County, Texas","353999","null","*****","*****","306625","2139","null","null","47374","2139","null","null",
"0500000US48041","Brazos County, Texas","219193","null","*****","*****","189594","1594","null","null","29599","1594","null","null",
"0500000US48043","Brewster County, Texas","9216","null","*****","*****","8610","167","null","null","606","167","null","null",
"0500000US48045","Briscoe County, Texas","1546","null","128","null","1438","131","null","null","108","49","null","null",
"0500000US48047","Brooks County, Texas","7180","null","*****","*****","6420","237","null","null","760","237","null","null",
"0500000US48049","Brown County, Texas","37834","null","*****","*****","35990","283","null","null","1844","283","null","null",
"0500000US48051","Burleson County, Texas","17863","null","*****","*****","16652","288","null","null","1211","288","null","null",
"0500000US48053","Burnet County, Texas","45750","null","*****","*****","42783","597","null","null","2967","597","null","null",
"0500000US48055","Caldwell County, Texas","41401","null","*****","*****","37125","553","null","null","4276","553","null","null",
"0500000US48057","Calhoun County, Texas","21807","null","*****","*****","19257","421","null","null","2550","421","null","null",
"0500000US48059","Callahan County, Texas","13770","null","*****","*****","13585","64","null","null","185","64","null","null",
"0500000US48061","Cameron County, Texas","421750","null","*****","*****","322499","2389","null","null","99251","2389","null","null",
"0500000US48063","Camp County, Texas","12813","null","*****","*****","11532","228","null","null","1281","228","null","null",
"0500000US48065","Carson County, Texas","6032","null","*****","*****","5918","48","null","null","114","48","null","null",
"0500000US48067","Cass County, Texas","30087","null","*****","*****","29501","109","null","null","586","109","null","null",
"0500000US48069","Castro County, Texas","7787","null","*****","*****","6224","258","null","null","1563","258","null","null",
"0500000US48071","Chambers County, Texas","40292","null","*****","*****","36724","670","null","null","3568","670","null","null",
"0500000US48073","Cherokee County, Texas","51903","null","*****","*****","46774","509","null","null","5129","509","null","null",
