"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US17183","Vermilion County, Illinois","81799","*****","*****","null","80199","null","231","null","1600","null","231","null",
"0500000US17185","Wabash County, Illinois","12041","*****","*****","null","11911","null","69","null","130","null","69","null",
"0500000US17187","Warren County, Illinois","17740","*****","*****","null","16916","null","194","null","824","null","194","null",
"0500000US17189","Washington County, Illinois","14746","*****","*****","null","14649","null","42","null","97","null","42","null",
"0500000US17191","Wayne County, Illinois","16814","*****","*****","null","16639","null","63","null","175","null","63","null",
"0500000US17193","White County, Illinois","14747","*****","*****","null","14569","null","91","null","178","null","91","null",
"0500000US17195","Whiteside County, Illinois","58622","*****","*****","null","56848","null","285","null","1774","null","285","null",
"0500000US17197","Will County, Illinois","674166","*****","*****","null","596419","null","1939","null","77747","null","1939","null",
"0500000US17199","Williamson County, Illinois","66025","*****","*****","null","64988","null","166","null","1037","null","166","null",
"0500000US17201","Winnebago County, Illinois","294893","*****","*****","null","272197","null","1178","null","22696","null","1178","null",
"0500000US17203","Woodford County, Illinois","38523","*****","*****","null","37871","null","275","null","652","null","275","null",
"0500000US18001","Adams County, Indiana","34263","*****","*****","null","33927","null","153","null","336","null","153","null",
"0500000US18003","Allen County, Indiana","353721","*****","*****","null","333750","null","1103","null","19971","null","1103","null",
"0500000US18005","Bartholomew County, Indiana","76536","*****","*****","null","71335","null","473","null","5201","null","473","null",
"0500000US18007","Benton County, Indiana","8815","*****","*****","null","8676","null","60","null","139","null","60","null",
"0500000US18009","Blackford County, Indiana","12848","*****","*****","null","12766","null","43","null","82","null","43","null",
"0500000US18011","Boone County, Indiana","55730","*****","*****","null","54007","null","284","null","1723","null","284","null",
"0500000US18013","Brown County, Indiana","15227","*****","*****","null","14987","null","85","null","240","null","85","null",
"0500000US18015","Carroll County, Indiana","20106","*****","*****","null","19678","null","64","null","428","null","64","null",
"0500000US18017","Cass County, Indiana","38971","*****","*****","null","35924","null","248","null","3047","null","248","null",
"0500000US18019","Clark County, Indiana","108864","*****","*****","null","104957","null","504","null","3907","null","504","null",
